Time_s,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 1 - Channel 2,Channel 2 - Channel 3,Channel 3 - Channel 4,Channel 4 - Channel 5,Channel 5 - Channel 6
0.000,-1.03853794E-03,+1.61937349E+00,-1.01408140E-02,-1.10383404E-03,-1.09851687E-03,-4.39070099E-04,-1.62041202794,1.6295143040000002,-0.00903697996,-5.317170000000097e-06,-0.0006594467709999999
10.039,-1.06973984E-03,+1.61940124E+00,+7.38949788E-03,-1.11239411E-03,-1.04663057E-03,-6.36448371E-04,-1.6204709798399999,1.61201174212,0.00850189199,-6.576353999999994e-05,-0.0004101821990000001
20.077,-9.37161005E-04,+1.61940650E+00,-1.13361562E-02,-1.12481060E-03,-1.00862152E-03,-1.58848593E-03,-1.620343661005,1.6307426562,-0.0102113456,-0.00011618907999999995,0.0005798644099999999
30.116,-1.11262783E-03,-6.51815596E-04,-1.13807432E-03,-1.23205980E-03,-1.15560348E-03,-1.15741482E-03,-0.00046081223400000005,0.00048625872399999997,9.398548000000002e-05,-7.645631999999994e-05,1.8113399999999426e-06
40.156,-1.33305694E-03,-6.42583575E-04,-1.19574524E-03,-1.20824937E-03,-1.32566548E-03,-1.20234789E-03,-0.0006904733649999999,0.0005531616649999999,1.2504130000000118e-05,0.00011741610999999996,-0.00012331758999999999
50.195,-1.19308665E-03,-6.98004916E-04,-1.22534029E-03,-1.21952646E-03,-1.15837893E-03,-1.19793638E-03,-0.0004950817340000001,0.000527335374,-5.813830000000065e-06,-6.114752999999994e-05,3.95574499999999e-05
60.234,-1.17099992E-03,-6.15325741E-04,-1.15046159E-03,-1.19153824E-03,-1.11925970E-03,-1.07748188E-03,-0.0005556741790000001,0.000535135849,4.107664999999992e-05,-7.227853999999985e-05,-4.177781999999998e-05
70.273,-1.08937249E-03,-6.86201953E-04,-1.18119604E-03,-1.22785281E-03,-1.11388409E-03,-1.17649238E-03,-0.0004031705369999999,0.0004949940870000001,4.6656769999999913e-05,-0.00011396872000000004,6.260828999999995e-05
80.314,-1.14754007E-03,-7.89799252E-04,-1.15490231E-03,-1.28248533E-03,-1.15887558E-03,-1.11934734E-03,-0.00035774081800000004,0.00036510305800000007,0.00012758302000000004,-0.00012360975000000004,-3.9528239999999954e-05
90.579,-1.13439320E-03,-7.05863820E-04,-1.23127099E-03,-1.17605416E-03,-1.14108349E-03,-1.11996086E-03,-0.0004285293800000001,0.00052540717,-5.521683000000001e-05,-3.497066999999998e-05,-2.1122630000000022e-05
